Control ID,User-visible name,Command ID,Keyboard shortcut,Panel,Group,Required selection/context,Build 40 enabled condition,Input parameters,Engine/desktop method,Semantic score mutation,Undo/redo transaction,Layout invalidation,Playback impact,Save/reopen behaviour,Staff/Sol-fa synchronization,Part synchronization,Import/export implication,Success/failure feedback,Automated test evidence,Manual verification evidence,Build 40 status,Build 41 production visibility,Scheduled corrective build,Evidence/reason,Build 42 status,Build 42 production visibility,Build 42 enabled condition,Build 42 automated evidence,Build 42 manual/visual evidence,Build 43 status,Build 43 production visibility,Build 43 enabled condition,Build 43 automated evidence,Build 43 manual/visual evidence,Build 50 status,Build 50 production visibility,Build 50 execution path,Build 50 automated evidence,Build 50 release evidence
data-command:jumpMeasure,Go,jumpMeasure,,playback,PLAYBACK,score,Always enabled in markup; no central command-context contract,jumpMeasureNumber,engine.jumpToMeasure,Engine operation: jumpToMeasure,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Direct,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command; engine-method references in tests: 3,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command; engine-method references in tests: 3,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command; engine-method references in tests: 3,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('jumpMeasure'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:marcato,Marcato,marcato,,notation,ARTICULATIONS AND EXPRESSION,selected-note,Always enabled in markup; no central command-context contract,None,"engine.setArticulation('marcato', true)",Adds a persistent marcato articulation to selected notes,One Composer engine commit; tested undo/redo where applicable,Score mutation triggers staff/page rerender,Must remain synchronized where semantic music changes,Persisted in .airscore; MusicXML verified where applicable,Uses authoritative score events; no parallel UI-only model,Active-part operation or shared score; linked-part proof incomplete,Serialized to .airscore and MusicXML where supported,Context-gated; recoverable musical errors leave score unchanged,engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,43,"Build 43 connects this control to the authoritative score model with undo, persistence, staff rendering and automated regression evidence; Windows/manual usability evidence remains required.",PARTIALLY FUNCTIONAL,HIDDEN,selection,engine-method references in tests: 2,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,selected-note,test/v123-build43-rhythmic-notation.test.js; existing notation tests,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('marcato'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:newScore,Create a new score,newScore,Ctrl+N,compose,FILE AND PROJECT,score,Always enabled in markup; no central command-context contract,None,engine.newScore,Replace authoritative score,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('newScore'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:nextPage,Next page,nextPage,,view,LAYOUT AND PAGES,score,Always enabled in markup; no central command-context contract,None,goToPage,No score mutation; genuine workspace/view operation,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Not applicable,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,None,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('nextPage'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:octaveDown,Octave −,octaveDown,,notation,PITCH AND TONALITY,selection,Always enabled in markup; no central command-context contract,None,engine.transposeSelection,Transpose selected notes,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 1,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,42,Transposes the selected semantic notes down one octave with immediate staff redraw and undo.,VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('octaveDown'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:octaveUp,Octave +,octaveUp,,notation,PITCH AND TONALITY,selection,Always enabled in markup; no central command-context contract,None,engine.transposeSelection,Transpose selected notes,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 1,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,42,Transposes the selected semantic notes up one octave with immediate staff redraw and undo.,VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('octaveUp'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:open,"Open an Airmonlink, MusicXML, MXL, or MIDI file",open,Ctrl+O,compose,FILE AND PROJECT,score,Always enabled in markup; no central command-context contract,None,openDocument,Replace authoritative score from file,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('open'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:pageBreak,Page break,pageBreak,,notation,RHYTHM AND MEASURES,score,Always enabled in markup; no central command-context contract,None,engine.setMeasureAttributes,Engine operation: setMeasureAttributes,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 10,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,43,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 10,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 10,Browser-rendered validation only; no human Windows verification,PARTIALLY FUNCTIONAL,HIDDEN,execute('pageBreak'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete."
data-command:paste,Paste at cursor,paste,Ctrl+V,compose,SELECTION AND CLIPBOARD,clipboard,Always enabled in markup; no central command-context contract,None,engine.pasteSelection,Engine operation: pasteSelection,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,42,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,clipboard,static wiring only,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,clipboard,static wiring only,Browser-rendered validation only; no human Windows verification,PARTIALLY FUNCTIONAL,HIDDEN,execute('paste'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete."
data-command:pause,Pause and preserve the current beat,pause,,playback,PLAYBACK,playback-active,Always enabled in markup; no central command-context contract,None,engine.pausePlayback,Engine operation: pausePlayback,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Direct,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command; engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,playback-active,browser-smoke command; engine-method references in tests: 2,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,playback-active,browser-smoke command; engine-method references in tests: 2,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('pause'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:pitchDown,Transpose selected notes down a semitone,pitchDown,,notation,PITCH AND TONALITY,selection,Always enabled in markup; no central command-context contract,None,engine.transposeSelection,Transpose selected notes,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 1,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,42,Transposes the selected semantic notes down one semitone with immediate staff redraw and undo.,VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('pitchDown'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:pitchUp,Transpose selected notes up a semitone,pitchUp,,notation,PITCH AND TONALITY,selection,Always enabled in markup; no central command-context contract,None,engine.transposeSelection,Transpose selected notes,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Should update shared score; user-facing proof incomplete,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 1,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,42,Transposes the selected semantic notes up one semitone with immediate staff redraw and undo.,VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Rendered Build 42 staff screenshot and browser interaction report; human Windows verification pending,VERIFIED FUNCTIONAL,VISIBLE,selection,test/v122-build42-staff-input.test.js; browser-smoke Build 42 keypad checks,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('pitchUp'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:play,Play from the current beat,play,,playback,PLAYBACK,score,Always enabled in markup; no central command-context contract,countInMeasures; loopEnd; loopPlayback; loopStart; metronome,engine.startPlayback,Start playback from score,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Direct,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,46,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,static wiring only,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,static wiring only,Browser-rendered validation only; no human Windows verification,PARTIALLY FUNCTIONAL,HIDDEN,execute('play'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete."
data-command:playMidiOutput,Play score to MIDI,playMidiOutput,,playback,PLAYBACK,midi-output-device,Always enabled in markup; no central command-context contract,None,playScoreToMidiOutput,Requires dynamic verification,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Direct,Not applicable,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command,Physical Windows/hardware evidence unavailable,BLOCKED,HIDDEN,46,Requires a connected physical MIDI output.,BLOCKED,HIDDEN,midi-output-device,browser-smoke command,No new human Windows verification in Build 42,BLOCKED,HIDDEN,midi-output-device,browser-smoke command,Browser-rendered validation only; no human Windows verification,BLOCKED,HIDDEN,execute('playMidiOutput'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Requires a connected physical MIDI output.
data-command:previousPage,Previous page,previousPage,,view,LAYOUT AND PAGES,score,Always enabled in markup; no central command-context contract,None,goToPage,No score mutation; genuine workspace/view operation,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Not applicable,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,None,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,static wiring only,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('previousPage'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:print,Print,print,,publish,IMPORT AND EXPORT,score,Always enabled in markup; no central command-context contract,None,airmonDesktop.print,Send score to printer,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,User recording confirms failure,BROKEN,HIDDEN,46,User recording shows print cancellation surfaced as an application failure; cancellation and genuine print failure are not separated.,BROKEN,HIDDEN,score,static wiring only,No new human Windows verification in Build 42,BROKEN,HIDDEN,score,static wiring only,Browser-rendered validation only; no human Windows verification,BROKEN,HIDDEN,execute('print'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,User recording shows print cancellation surfaced as an application failure; cancellation and genuine print failure are not separated.
data-command:printPreview,Print preview,printPreview,,publish,IMPORT AND EXPORT,score,Always enabled in markup; no central command-context contract,None,airmonDesktop.printPreview,Render score through desktop print preview,Not applicable or transport/view only,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,browser-smoke command,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,score,browser-smoke command,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('printPreview'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:redo,Redo,redo,Ctrl+Y,compose,SELECTION AND CLIPBOARD,redo-history,Always enabled in markup; no central command-context contract,None,engine.redo,Restore next semantic snapshot,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 14,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,redo-history,engine-method references in tests: 14,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,redo-history,engine-method references in tests: 14,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('redo'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:removeBeams,Remove beams,removeBeams,,notation,ARTICULATIONS AND EXPRESSION,selected-note,,,engine.clearSelectionBeams(),Removes beam metadata from selected notes,One Composer engine commit; tested undo/redo where applicable,Score mutation triggers staff/page rerender,,Persisted in .airscore; MusicXML verified where applicable,Uses authoritative score events; no parallel UI-only model,,Serialized to .airscore and MusicXML where supported,Context-gated; recoverable musical errors leave score unchanged,,,,,43,"Build 43 connects this control to the authoritative score model with undo, persistence, staff rendering and automated regression evidence; Windows/manual usability evidence remains required.",,,,,,VERIFIED FUNCTIONAL,VISIBLE,selected-note,test/v123-build43-rhythmic-notation.test.js,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('removeBeams'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:removeMeasure,Remove measure,removeMeasure,,notation,RHYTHM AND MEASURES,active-part,Always enabled in markup; no central command-context contract,None,engine.removeMeasure,Remove measure and reflow later events,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Not applicable or covered by existing engine path,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 2,No complete manual staff-workflow proof in current environment,VERIFIED FUNCTIONAL,VISIBLE,41,Direct renderer or engine path has automated evidence; final Windows/manual usability evidence is still required.,VERIFIED FUNCTIONAL,VISIBLE,active-part,engine-method references in tests: 2,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,active-part,engine-method references in tests: 2,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('removeMeasure'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:removePart,Remove part,removePart,,compose,STAFF AND INSTRUMENTS,score,Always enabled in markup; no central command-context contract,None,engine.removeActivePart,Engine operation: removeActivePart,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,static wiring only,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,47,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,static wiring only,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,static wiring only,Browser-rendered validation only; no human Windows verification,PARTIALLY FUNCTIONAL,HIDDEN,execute('removePart'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete."
data-command:removeSpanners,Remove,removeSpanners,,notation,TIES SLURS AND SPANNERS,selected-note,Always enabled in markup; no central command-context contract,None,engine.removeSpannersForSelection(),Removes ties and slurs attached to selected events,One Composer engine commit; tested undo/redo where applicable,Score mutation triggers staff/page rerender,Must remain synchronized where semantic music changes,Persisted in .airscore; MusicXML verified where applicable,Uses authoritative score events; no parallel UI-only model,Active-part operation or shared score; linked-part proof incomplete,Serialized to .airscore and MusicXML where supported,Context-gated; recoverable musical errors leave score unchanged,static wiring only,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,43,"Build 43 connects this control to the authoritative score model with undo, persistence, staff rendering and automated regression evidence; Windows/manual usability evidence remains required.",PARTIALLY FUNCTIONAL,HIDDEN,selection,static wiring only,No new human Windows verification in Build 42,VERIFIED FUNCTIONAL,VISIBLE,selected-note,existing notation tests; browser smoke,Browser-rendered validation only; no human Windows verification,VERIFIED FUNCTIONAL,VISIBLE WHEN CONTEXT SATISFIED,execute('removeSpanners'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,Source and automated control wiring verified; Windows/manual interaction remains pending
data-command:repeatEnd,Repeat end,repeatEnd,,notation,RHYTHM AND MEASURES,score,Always enabled in markup; no central command-context contract,None,engine.setMeasureAttributes,Engine operation: setMeasureAttributes,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 10,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,43,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 10,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 10,Browser-rendered validation only; no human Windows verification,PARTIALLY FUNCTIONAL,HIDDEN,execute('repeatEnd'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete."
data-command:repeatStart,Repeat start,repeatStart,,notation,RHYTHM AND MEASURES,score,Always enabled in markup; no central command-context contract,None,engine.setMeasureAttributes,Engine operation: setMeasureAttributes,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 10,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,43,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 10,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 10,Browser-rendered validation only; no human Windows verification,PARTIALLY FUNCTIONAL,HIDDEN,execute('repeatStart'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete."
data-command:replaceLyrics,Replace in verse,replaceLyrics,,lyrics,LYRICS AND TEXT,score,Always enabled in markup; no central command-context contract,lyricReplacement; lyricSearch; lyricTargetVerse; lyricVerse,engine.searchReplaceLyrics,Engine operation: searchReplaceLyrics,Expected through engine commit/history; command-level proof required,Engine change triggers full render; direct viewport commands reflow page service,Must remain synchronized where semantic music changes,Expected through authoritative score serialization; command-level round-trip proof required,Indirect through authoritative score where applicable,Active-part operation or shared score; linked-part proof incomplete,Must serialize semantic result,Status/error banner; context-sensitive disabling absent in Build 40,engine-method references in tests: 1,No complete manual staff-workflow proof in current environment,PARTIALLY FUNCTIONAL,HIDDEN,44,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete.",PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 1,No new human Windows verification in Build 42,PARTIALLY FUNCTIONAL,HIDDEN,score,engine-method references in tests: 1,Browser-rendered validation only; no human Windows verification,PARTIALLY FUNCTIONAL,HIDDEN,execute('replaceLyrics'),test/build50-functional-release-candidate.test.js; scripts/build50-control-audit.js,"A renderer or engine path exists, but complete staff interaction, context gating, visual proof, persistence, and real-user evidence are incomplete."
